"beta0","beta1","beta2","beta3"
-4.30628211790079,-4.90873443194938,-1.06040135025926,-1.53139381020434
-4.30628211790079,-4.90873443194938,-1.06040135025926,-1.53139381020434
-4.30628211790079,-4.90873443194938,-1.06040135025926,-1.53139381020434
-4.30628211790079,-4.90873443194938,-1.06040135025926,-1.53139381020434
-4.30628211790079,-4.90873443194938,-1.06040135025926,-1.53139381020434
-4.3028001828378,-4.90873443194938,-1.06040135025926,-1.53139381020434
-4.3028001828378,-4.90873443194938,-1.06040135025926,-1.53139381020434
-4.3028001828378,-5.22923475981169,-1.06040135025926,-1.53139381020434
-4.3028001828378,-5.22923475981169,-1.06040135025926,-1.53139381020434
-4.3028001828378,-5.22923475981169,-0.866640286870676,-1.53139381020434
-4.3028001828378,-5.22923475981169,-0.866640286870676,-1.53139381020434
-4.32088711449776,-5.22923475981169,-0.866640286870676,-1.53139381020434
-4.32088711449776,-5.22923475981169,-0.866640286870676,-1.53139381020434
